,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,870,1882,-1,
1,2,1,1,0,0,0,97,36,91,91,-1,
2,3,1,1,1,0,0,97,36,91,91,-1,
3,4,1,1,1,1,0,97,36,91,91,-1,
4,5,1,1,1,1,1,97,36,91,91,48.073990,ays
5,2,1,2,0,0,0,85,140,114,54,-1,
6,3,1,2,1,0,0,85,140,114,54,-1,
7,4,1,2,1,1,0,85,140,114,29,-1,
8,5,1,2,1,1,1,85,140,114,29,92.068642,krungsri
9,4,1,2,1,2,0,85,170,52,24,-1,
10,5,1,2,1,2,1,85,176,8,13,96.986992,ก
11,5,1,2,1,2,2,93,166,8,32,92.511795,ร
12,5,1,2,1,2,3,101,176,5,18,93.303177,ุ
13,5,1,2,1,2,4,107,177,7,12,92.195793,ง
14,5,1,2,1,2,5,116,176,7,13,92.929367,ศ
15,5,1,2,1,2,6,123,166,8,32,92.221710,ร
16,5,1,2,1,2,7,131,170,6,19,92.709175,ี
17,2,1,3,0,0,0,57,0,170,218,-1,
18,3,1,3,1,0,0,57,0,170,218,-1,
19,4,1,3,1,1,0,57,0,170,218,-1,
20,5,1,3,1,1,1,57,0,170,218,95.000000, 
21,2,1,4,0,0,0,60,221,76,18,-1,
22,3,1,4,1,0,0,60,221,76,18,-1,
23,4,1,4,1,1,0,60,221,76,18,-1,
24,5,1,4,1,1,1,60,221,76,18,95.000000, 
25,2,1,5,0,0,0,138,223,83,30,-1,
26,3,1,5,1,0,0,138,223,83,30,-1,
27,4,1,5,1,1,0,138,223,83,14,-1,
28,5,1,5,1,1,1,138,225,12,9,93.127525,of
29,5,1,5,1,1,2,158,223,19,14,64.559845,@)
30,5,1,5,1,1,3,183,226,38,8,68.858467,MUFG
31,4,1,5,1,2,0,167,241,54,12,-1,
32,5,1,5,1,2,1,167,241,9,9,52.911777,jal
33,5,1,5,1,2,2,183,244,38,9,82.248962,group
34,2,1,6,0,0,0,64,287,481,71,-1,
35,3,1,6,1,0,0,64,287,481,71,-1,
36,4,1,6,1,1,0,64,287,481,71,-1,
37,5,1,6,1,1,1,64,302,123,44,95.617386,Scan
38,5,1,6,1,1,2,208,304,52,42,96.638962,to
39,5,1,6,1,1,3,281,313,93,45,93.256271,pay
40,5,1,6,1,1,4,380,283,21,79,92.738571,ส
41,5,1,6,1,1,5,400,290,26,56,92.874771,ํ
42,5,1,6,1,1,6,432,306,24,39,93.305710,า
43,5,1,6,1,1,7,466,287,34,59,93.207611,เร
44,5,1,6,1,1,8,499,283,21,79,93.163406,็
45,5,1,6,1,1,9,519,306,26,39,96.960609,จ
46,2,1,7,0,0,0,67,365,338,32,-1,
47,3,1,7,1,0,0,67,365,338,32,-1,
48,4,1,7,1,1,0,67,365,338,32,-1,
49,5,1,7,1,1,1,67,371,32,25,93.009262,12
50,5,1,7,1,1,2,108,361,12,48,93.301117,ม
51,5,1,7,1,1,3,120,365,10,32,91.251976,ี
52,5,1,7,1,1,4,135,393,3,3,92.491600,.
53,5,1,7,1,1,5,147,373,13,23,91.283020,ค
54,5,1,7,1,1,6,165,393,3,3,88.685242,.
55,5,1,7,1,1,7,182,371,77,26,92.877380,2564
56,5,1,7,1,1,8,275,371,130,26,92.223763,18:34:57
57,2,1,8,0,0,0,312,472,281,74,-1,
58,3,1,8,1,0,0,312,472,281,74,-1,
59,4,1,8,1,1,0,313,472,280,26,-1,
60,5,1,8,1,1,1,313,472,226,26,91.759453,KANOKVALEE
61,5,1,8,1,1,2,554,473,39,25,96.247070,PH
62,4,1,8,1,2,0,312,528,168,18,-1,
63,5,1,8,1,2,1,312,529,50,17,30.581367,XXX:
64,5,1,8,1,2,2,370,529,110,17,77.688156,1-49872-X
65,2,1,9,0,0,0,312,588,332,82,-1,
66,3,1,9,1,0,0,312,588,332,82,-1,
67,4,1,9,1,1,0,313,588,331,46,-1,
68,5,1,9,1,1,1,313,599,17,23,93.244293,น
69,5,1,9,1,1,2,334,599,15,23,93.299461,า
70,5,1,9,1,1,3,353,599,14,23,97.023293,ย
71,5,1,9,1,1,4,386,599,28,23,93.304680,เจ
72,5,1,9,1,1,5,418,599,20,23,90.539787,ษ
73,5,1,9,1,1,6,440,599,15,35,91.258423,ฎ
74,5,1,9,1,1,7,463,599,8,23,91.676155,า
75,5,1,9,1,1,8,492,584,27,54,96.978653,ช่
76,5,1,9,1,1,9,518,599,11,23,96.866257,ว
77,5,1,9,1,1,10,535,599,15,23,96.800499,ง
78,5,1,9,1,1,11,552,584,17,54,91.848427,บ
79,5,1,9,1,1,12,568,589,9,7,93.180267,ั
80,5,1,9,1,1,13,585,599,18,30,93.266151,ญ
81,5,1,9,1,1,14,602,584,18,54,92.517120,ญ
82,5,1,9,1,1,15,619,590,18,39,93.297081,ั
83,5,1,9,1,1,16,636,584,11,54,84.385696,เ
84,4,1,9,1,2,0,312,652,164,18,-1,
85,5,1,9,1,2,1,312,652,164,18,66.760704,XXX-XXX-3133
86,2,1,10,0,0,0,313,720,166,26,-1,
87,3,1,10,1,0,0,313,720,166,26,-1,
88,4,1,10,1,1,0,313,720,166,26,-1,
89,5,1,10,1,1,1,313,720,91,26,96.018936,50.00
90,5,1,10,1,1,2,416,721,63,25,96.761421,THB
91,2,1,11,0,0,0,312,771,254,23,-1,
92,3,1,11,1,0,0,312,771,254,23,-1,
93,4,1,11,1,1,0,312,771,254,23,-1,
94,5,1,11,1,1,1,312,781,10,10,93.275383,+
95,5,1,11,1,1,2,326,771,8,23,90.572975,ค
96,5,1,11,1,1,3,333,767,10,37,92.168076,่
97,5,1,11,1,1,4,342,778,7,16,93.300339,า
98,5,1,11,1,1,5,354,778,24,16,96.875366,ธร
99,5,1,11,1,1,6,381,778,10,16,95.779694,ร
100,5,1,11,1,1,7,394,778,9,16,96.976868,ม
101,5,1,11,1,1,8,410,772,16,22,93.250366,เน
102,5,1,11,1,1,9,431,778,7,16,93.199242,ี
103,5,1,11,1,1,10,437,767,21,37,96.866379,ยม
104,5,1,11,1,1,11,468,776,45,18,96.503677,0.00
105,5,1,11,1,1,12,523,777,43,17,96.751816,THB
106,2,1,12,0,0,0,313,844,282,26,-1,
107,3,1,12,1,0,0,313,844,282,26,-1,
108,4,1,12,1,1,0,313,844,282,26,-1,
109,5,1,12,1,1,1,313,845,67,25,33.593758,ธา
110,5,1,12,1,1,2,383,844,212,26,88.404716,"""571903331"
111,2,1,13,0,0,0,306,914,212,211,-1,
112,3,1,13,1,0,0,306,914,212,211,-1,
113,4,1,13,1,1,0,306,914,212,211,-1,
114,5,1,13,1,1,1,306,914,212,211,95.000000,
