Bank,level,page_num,block_num,par_num,line_num,left,top,width,height,CEng,Ctha,CNum,CSym,label
Kbank,4,1,1,1,1,41,11,645,71,0,12,1,5,NotUse
Kbank,4,1,1,1,1,42,11,608,70,0,11,1,4,NotUse
Kbank,4,1,1,1,1,42,15,201,35,0,11,0,3,NotUse
Kbank,4,1,1,1,1,78,28,800,118,0,11,0,6,NotUse
Kbank,4,1,1,1,1,78,28,800,118,2,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,288,69,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,743,116,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,743,116,0,12,0,4,NotUse
Kbank,4,1,1,1,1,78,30,791,64,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,791,65,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,791,65,0,11,1,3,NotUse
Kbank,4,1,1,1,1,78,30,792,116,0,11,0,5,NotUse
Kbank,4,1,1,1,1,78,30,792,116,0,11,1,4,NotUse
Kbank,4,1,1,1,1,78,30,792,116,2,12,0,3,NotUse
Kbank,4,1,1,1,1,78,30,796,64,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,796,64,0,11,1,3,NotUse
Kbank,4,1,1,1,1,78,30,796,65,0,11,0,3,NotUse
Kbank,4,1,1,1,1,78,30,796,65,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,796,116,0,11,0,5,NotUse
Kbank,4,1,1,1,1,78,30,796,116,0,11,1,4,NotUse
Kbank,4,1,1,1,1,78,30,796,116,2,11,0,3,NotUse
Kbank,4,1,1,1,1,78,30,831,116,0,11,0,4,NotUse
Kbank,4,1,1,1,1,78,30,856,74,0,13,0,5,NotUse
Kbank,4,1,1,1,1,78,30,856,75,2,11,0,3,NotUse
Kbank,4,1,1,1,1,78,30,856,76,2,11,0,4,NotUse
Kbank,4,1,1,1,1,78,34,288,51,0,11,0,3,NotUse
Kbank,4,1,1,1,1,78,34,288,51,0,12,0,3,NotUse
Kbank,4,1,1,1,1,79,31,855,77,0,12,0,6,NotUse
Kbank,4,1,1,1,1,79,32,313,53,0,10,0,5,NotUse
Kbank,4,1,1,1,1,79,33,742,113,0,10,0,5,NotUse
Kbank,4,1,1,1,1,79,33,790,61,0,10,0,5,NotUse
Kbank,4,1,1,1,1,79,33,790,61,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,790,62,0,10,0,5,NotUse
Kbank,4,1,1,1,1,79,33,790,62,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,790,63,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,61,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,62,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,69,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,70,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,70,1,10,0,4,NotUse
Kbank,4,1,1,1,1,79,33,791,72,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,73,0,10,0,4,NotUse
Kbank,4,1,1,1,1,79,33,791,74,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,791,113,0,10,1,5,NotUse
Kbank,4,1,1,1,1,79,33,791,113,2,10,0,4,NotUse
Kbank,4,1,1,1,1,79,33,795,72,0,10,0,5,NotUse
Kbank,4,1,1,1,1,79,33,795,72,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,795,75,0,10,1,4,NotUse
Kbank,4,1,1,1,1,79,33,795,75,1,10,0,4,NotUse
Kbank,4,1,1,1,1,79,33,795,113,0,10,1,5,NotUse
Kbank,4,1,1,1,1,79,33,799,113,0,11,0,6,NotUse
Kbank,4,1,1,1,1,79,33,855,74,0,12,0,6,NotUse
Kbank,4,1,1,1,1,79,37,280,48,0,10,0,4,NotUse
Kbank,4,1,1,1,1,81,33,740,113,0,12,0,5,NotUse
Kbank,4,1,1,1,1,81,33,788,61,0,12,0,5,NotUse
Kbank,4,1,1,1,1,81,33,788,61,0,12,1,4,NotUse
Kbank,4,1,1,1,1,81,33,788,62,0,12,0,5,NotUse
Kbank,4,1,1,1,1,81,33,789,69,0,12,0,5,NotUse
Kbank,4,1,1,1,1,81,33,789,69,0,12,1,4,NotUse
Kbank,4,1,1,1,1,81,33,789,74,1,12,0,4,NotUse
Kbank,4,1,1,1,1,81,33,793,62,0,12,0,5,NotUse
Kbank,4,1,1,1,1,81,33,793,69,0,12,0,5,NotUse
Kbank,4,1,1,1,1,81,33,853,72,0,14,0,6,NotUse
Kbank,4,1,1,1,1,81,37,304,48,0,12,0,4,NotUse
Kbank,4,1,1,1,1,82,32,310,53,0,11,0,5,NotUse
Kbank,4,1,1,1,1,82,33,739,113,0,11,0,5,NotUse
Kbank,4,1,1,1,1,82,33,787,61,0,11,0,5,NotUse
Kbank,4,1,1,1,1,82,33,787,61,0,11,1,4,NotUse
Kbank,4,1,1,1,1,82,33,787,62,0,11,0,5,NotUse
Kbank,4,1,1,1,1,82,33,787,62,0,11,1,4,NotUse
Kbank,4,1,1,1,1,82,33,788,69,0,11,1,4,NotUse
Kbank,4,1,1,1,1,82,33,788,70,1,11,0,4,NotUse
Kbank,4,1,1,1,1,82,33,788,72,1,11,0,4,NotUse
Kbank,4,1,1,1,1,82,33,792,61,0,11,0,5,NotUse
Kbank,4,1,1,1,1,82,33,792,62,0,11,0,5,NotUse
Kbank,4,1,1,1,1,82,33,852,71,2,11,0,5,NotUse
Kbank,4,1,1,1,1,82,37,284,48,0,11,0,4,NotUse
Kbank,4,1,1,1,1,85,33,800,83,2,10,0,5,NotUse
Kbank,4,1,1,1,2,44,76,271,22,0,3,8,4,NotUse
Kbank,4,1,1,1,2,45,52,640,45,0,3,8,5,NotUse
Kbank,4,1,1,1,2,45,77,269,20,0,3,8,4,NotUse
Kbank,4,1,1,1,2,45,77,269,20,1,2,8,4,NotUse
Kbank,4,1,1,1,2,45,77,269,20,2,1,8,3,NotUse
Kbank,4,1,1,1,2,80,90,824,71,2,3,7,5,Timing
Kbank,4,1,1,1,2,80,124,359,37,0,3,7,5,Timing
Kbank,4,1,1,1,2,80,128,837,33,1,1,10,4,Timing
Kbank,4,1,1,1,2,80,128,837,33,1,2,7,4,Timing
Kbank,4,1,1,1,2,80,128,837,33,1,2,7,5,Timing
Kbank,4,1,1,1,2,80,128,837,33,1,3,7,5,Timing
Kbank,4,1,1,1,2,80,128,837,33,2,2,7,5,Timing
Kbank,4,1,1,1,2,80,130,359,31,1,2,7,4,Timing
Kbank,4,1,1,1,2,80,130,368,31,1,3,7,4,Timing
Kbank,4,1,1,1,2,81,90,823,71,1,3,8,5,Timing
Kbank,4,1,1,1,2,81,90,823,71,2,2,8,5,Timing
Kbank,4,1,1,1,2,81,90,823,71,2,3,8,5,Timing
Kbank,4,1,1,1,2,81,90,823,71,3,1,8,5,Timing
Kbank,4,1,1,1,2,81,90,847,71,0,5,8,4,Timing
Kbank,4,1,1,1,2,81,124,358,37,0,3,7,5,Timing
Kbank,4,1,1,1,2,81,124,358,37,1,2,7,5,Timing
Kbank,4,1,1,1,2,81,124,384,37,0,3,8,5,Timing
Kbank,4,1,1,1,2,81,124,384,37,1,2,8,5,Timing
Kbank,4,1,1,1,2,81,128,356,33,0,3,7,3,Timing
Kbank,4,1,1,1,2,81,128,356,33,0,3,7,4,Timing
Kbank,4,1,1,1,2,81,128,356,33,1,2,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,1,9,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,1,10,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,2,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,2,9,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,3,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,3,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,3,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,3,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,3,9,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,4,7,3,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,4,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,4,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,4,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,4,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,5,6,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,5,7,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,5,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,5,7,6,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,5,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,0,6,7,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,0,9,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,0,10,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,1,8,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,1,8,5,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,1,9,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,1,10,4,Timing
Kbank,4,1,1,1,2,81,128,836,33,1,1,10,5,Timing
